,feature,importance,fold
0,CO,54,1
1,NO,712,1
2,NO2,902,1
3,O3-1H,111,1
4,O3-8H,78,1
5,PM10,45,1
6,PM2.5,16,1
7,SO2,58,1
8,大气压,21,1
9,温度,11,1
10,湿度,15,1
11,风速,58,1
0,CO,68,2
1,NO,917,2
2,NO2,1095,2
3,O3-1H,145,2
4,O3-8H,77,2
5,PM10,46,2
6,PM2.5,16,2
7,SO2,80,2
8,大气压,49,2
9,温度,15,2
10,湿度,10,2
11,风速,68,2
0,CO,112,3
1,NO,1380,3
2,NO2,1633,3
3,O3-1H,210,3
4,O3-8H,89,3
5,PM10,55,3
6,PM2.5,68,3
7,SO2,126,3
8,大气压,120,3
9,温度,83,3
10,湿度,98,3
11,风速,95,3
0,CO,115,4
1,NO,1229,4
2,NO2,1484,4
3,O3-1H,198,4
4,O3-8H,82,4
5,PM10,58,4
6,PM2.5,59,4
7,SO2,131,4
8,大气压,68,4
9,温度,64,4
10,湿度,48,4
11,风速,65,4
0,CO,118,5
1,NO,1342,5
2,NO2,1539,5
3,O3-1H,215,5
4,O3-8H,94,5
5,PM10,49,5
6,PM2.5,40,5
7,SO2,115,5
8,大气压,96,5
9,温度,39,5
10,湿度,57,5
11,风速,84,5
